txn_id,amount,date,type
T001,323.32,2023-01-15,sale
T002,130.0,2023-01-17,sale
T003,341.58,2023-01-23,sale
T004,299.34,2023-01-15,sale
T005,55.91,2023-01-18,sale
T006,285.01,2023-01-25,sale
T007,118.02,2023-01-24,sale
T008,406.62,2023-01-15,sale
T009,352.09,2023-01-20,sale
T010,86.18,2023-01-20,sale
T011,55.45,2023-01-16,sale
T012,425.27,2023-01-24,sale
T013,405.49,2023-01-22,sale
T014,486.83,2023-01-21,sale
T015,280.5,2023-01-25,sale
T016,292.9,2023-01-16,sale
T017,334.02,2023-01-19,sale
T018,429.11,2023-01-16,sale
T019,146.21,2023-01-25,sale
T020,89.7,2023-01-20,sale
T021,338.39,2023-01-25,sale
T022,308.47,2023-01-17,sale
T023,90.07,2023-01-21,sale
T024,494.87,2023-01-25,sale
T025,345.46,2023-01-15,sale
T026,412.68,2023-01-20,sale
T027,141.19,2023-01-18,sale
T028,114.19,2023-01-22,sale
T029,443.49,2023-01-25,sale
T030,80.01,2023-01-17,sale
T031,375.04,2023-01-23,sale
T032,376.04,2023-01-21,sale
T033,187.38,2023-01-17,sale
T034,54.55,2023-01-15,sale
T035,84.89,2023-01-17,sale
T036,302.24,2023-01-21,sale
T037,301.99,2023-01-22,sale
T038,485.83,2023-01-15,sale
T039,344.04,2023-01-23,sale
T040,386.61,2023-01-20,sale
T041,153.82,2023-01-17,sale
T042,11.59,2023-01-19,sale
T043,258.76,2023-01-16,sale
T044,422.42,2023-01-23,sale
T045,84.89,2023-01-17,sale
T046,303.48,2023-01-22,sale
T047,64.82,2023-01-20,sale
T048,127.33,2023-01-18,sale
T049,51.97,2023-01-22,sale
T050,489.21,2023-01-23,sale
T051,72.91,2023-01-22,sale
T052,139.88,2023-01-24,sale
T053,482.54,2023-01-23,sale
T054,359.34,2023-01-21,sale
T055,224.67,2023-01-23,sale
T056,69.29,2023-01-18,sale
T057,175.66,2023-01-24,sale
T058,298.34,2023-01-15,sale
T059,356.84,2023-01-15,sale
T060,43.03,2023-01-15,sale
T061,44.72,2023-01-18,sale
T062,337.8,2023-01-18,sale
T063,364.44,2023-01-24,sale
T064,129.07,2023-01-22,sale
T065,103.3,2023-01-16,sale
T066,183.61,2023-01-21,sale
T067,433.28,2023-01-15,sale
T068,39.7,2023-01-20,sale
T069,131.84,2023-01-18,sale
T070,78.69,2023-01-17,sale
T071,236.69,2023-01-16,sale
T072,405.93,2023-01-23,sale
T073,34.79,2023-01-23,sale
T074,484.81,2023-01-18,sale
T075,209.14,2023-01-22,sale
T076,433.68,2023-01-15,sale
T077,195.7,2023-01-21,sale
T078,463.99,2023-01-22,sale
T079,217.27,2023-01-23,sale
T080,85.85,2023-01-19,sale
T081,484.67,2023-01-24,sale
T082,376.51,2023-01-15,sale
T083,296.25,2023-01-23,sale
T084,37.87,2023-01-23,sale
T085,427.16,2023-01-16,sale
T086,340.85,2023-01-18,sale
T087,68.74,2023-01-24,sale
T088,293.67,2023-01-15,sale
T089,215.42,2023-01-24,sale
T090,468.01,2023-01-18,sale
T091,126.96,2023-01-21,sale
T092,339.13,2023-01-19,sale
T093,164.93,2023-01-16,sale
T094,234.56,2023-01-24,sale
T095,45.9,2023-01-18,sale
T096,74.9,2023-01-20,sale
T097,440.84,2023-01-20,sale
T098,87.3,2023-01-23,sale
T099,309.72,2023-01-25,sale
T100,337.25,2023-01-23,sale
T101,150.0,2023-01-31,sale
T102,75.5,2023-01-20,sale
T102,75.5,2023-01-20,sale
T103,100.55,2023-01-22,sale
R001,-50.0,2023-01-25,refund
T105,300.0,2023-01-28,sale
