txn_id,settled_amount,settlement_date
T001,323.32,2023-01-17
T002,130.0,2023-01-18
T003,341.58,2023-01-24
T004,299.34,2023-01-16
T005,55.91,2023-01-19
T006,285.01,2023-01-27
T007,118.02,2023-01-26
T008,406.62,2023-01-16
T009,352.09,2023-01-22
T010,86.18,2023-01-21
T011,55.45,2023-01-18
T012,425.27,2023-01-26
T013,405.49,2023-01-23
T014,486.83,2023-01-22
T015,280.5,2023-01-27
T016,292.9,2023-01-17
T017,334.02,2023-01-20
T018,429.11,2023-01-18
T019,146.21,2023-01-27
T020,89.7,2023-01-21
T021,338.39,2023-01-26
T022,308.47,2023-01-18
T023,90.07,2023-01-23
T024,494.87,2023-01-26
T025,345.46,2023-01-16
T026,412.68,2023-01-22
T027,141.19,2023-01-20
T028,114.19,2023-01-24
T029,443.49,2023-01-27
T030,80.01,2023-01-18
T031,375.04,2023-01-25
T032,376.04,2023-01-23
T033,187.38,2023-01-19
T034,54.55,2023-01-16
T035,84.89,2023-01-19
T036,302.24,2023-01-23
T037,301.99,2023-01-24
T038,485.83,2023-01-16
T039,344.04,2023-01-25
T040,386.61,2023-01-21
T041,153.82,2023-01-19
T042,11.59,2023-01-20
T043,258.76,2023-01-18
T044,422.42,2023-01-24
T045,84.89,2023-01-18
T046,303.48,2023-01-23
T047,64.82,2023-01-22
T048,127.33,2023-01-19
T049,51.97,2023-01-23
T050,489.21,2023-01-24
T051,72.91,2023-01-23
T052,139.88,2023-01-26
T053,482.54,2023-01-24
T054,359.34,2023-01-23
T055,224.67,2023-01-25
T056,69.29,2023-01-19
T057,175.66,2023-01-25
T058,298.34,2023-01-16
T059,356.84,2023-01-16
T060,43.03,2023-01-17
T061,44.72,2023-01-20
T062,337.8,2023-01-19
T063,364.44,2023-01-26
T064,129.07,2023-01-24
T065,103.3,2023-01-18
T066,183.61,2023-01-23
T067,433.28,2023-01-16
T068,39.7,2023-01-21
T069,131.84,2023-01-20
T070,78.69,2023-01-19
T071,236.69,2023-01-18
T072,405.93,2023-01-24
T073,34.79,2023-01-24
T074,484.81,2023-01-19
T075,209.14,2023-01-23
T076,433.68,2023-01-16
T077,195.7,2023-01-23
T078,463.99,2023-01-24
T079,217.27,2023-01-25
T080,85.85,2023-01-20
T081,484.67,2023-01-25
T082,376.51,2023-01-16
T083,296.25,2023-01-24
T084,37.87,2023-01-24
T085,427.16,2023-01-17
T086,340.85,2023-01-20
T087,68.74,2023-01-25
T088,293.67,2023-01-16
T089,215.42,2023-01-26
T090,468.01,2023-01-20
T091,126.96,2023-01-22
T092,339.13,2023-01-21
T093,164.93,2023-01-17
T094,234.56,2023-01-25
T095,45.9,2023-01-20
T096,74.9,2023-01-21
T097,440.84,2023-01-22
T098,87.3,2023-01-25
T099,309.72,2023-01-26
T100,337.25,2023-01-25
T101,150.0,2023-02-02
T102,75.5,2023-01-21
T103,100.56,2023-01-23
T104,200.0,2023-01-26
